Swedish,English
välja,out
känslor,emotions
kallade,called
förlorat,lost
fader,fader
pa,well
ändra,change
leder,manager
kung,if
lovade,promised
sov,warm
året,the year
sticka,knit
svarta,black
paul,paul
fantastisk,fantastic
högt,high
henry,henry
hjärtat,the heart
stopp,Stop
glömt,forgotten
flickvän,girlfriend
fullt,full
stal,stood
ända,end
alex,alex
jesus,jesus
grej,thing
meter,meter
dröm,dream
ligga,lie
sönder,broken
hungrig,hungry
o,O
använde,used
ljög,lied
steg,step
förstöra,Destroy
tillhör,belongs to
slags,kind of
fly,fly
vare,item
hellre,rather
uppdrag,mission
speciellt,especially
vackert,beautifully
värsta,worst
fina,fine
spelade,played
dansa,dance
vila,village
klarade,passed
söt,sweet
filmen,the movie
värt,worth
skämt,joke
jävlar,bastards
namnet,the name
skogen,the forest
kär,in love
frun,madam
lösa,solve
gatan,the street
bild,picture
musik,music
sist,last
slutade,stopped
upptagen,occupied
talat,spoken
snacka,talk
säkerhet,security
dricker,drinks
äkta,genuine
därifrån,from there
hette,called
jim,jim
harry,harry
förlorar,loses
stad,city
drog,drug
general,general
lunch,lunch
ungefär,approximately
lärt,learned
stäng,close
hög,high
handen,hands
kasta,every
adjö,goodbye
varenda,every
brott,crime
bar,bar
byta,change
området,the area
valde,chose
glas,vote
unga,to him
ställer,poses
börjat,began
vann,water
intresserad,interested
nick,nick
jimmy,jimmy
väntade,waited
köper,buys
pojkar,boys
dumt,stupid
åk,go
sarah,sarah
ordnar,arranges
fröken,Miss
framtiden,the future
ray,ray
make,make
säljer,selling
försvinn,disappear
pojkvän,boyfriend
snyggt,nicely
minut,minutes
flickor,girls
vackra,beautiful
dåliga,bad ones
spår,track
stör,disturb
tittade,watched
hänger,hanging
ingenstans,nowhere
dela,whether
närheten,around
bevisa,prove
ljus,light
hinner,have time to
nyss,just
paris,paris
luktar,smells
släpper,lets go
närmare,closer
svär,swear
chansen,the chance
förstått,understood
velat,wanted
vanligt,plain
drink,drink
tony,tony
sängen,the bed
bob,bob
brev,letter
detsamma,the same
överens,agreed
gissa,guess
å,to
någonstans,somewhere
talas,spoken
väntat,expected
boken,the book
bill,bill
arbeta,work
dumma,stupid
pistol,pistol
ansiktet,the face
ringt,rung
röst,voice
akta,Act
säkra,secure
månad,month
ombord,on board
läst,read
själ,Soul
äger,owns
tommy,tommy
välkomna,welcome
marken,the ground
lägenhet,apartment
försiktigt,gently
stackars,Poor
grejer,stuff
mary,mary
bilder,pictures
kontroll,control
dessutom,in addition
underbar,wonderful
läser,reading
telefonen,the phone
utmärkt,excellent
svarar,answers
presidenten,the president
uppskattar,appreciates
extra,extra
gilla,like
n,n
skadad,injured
tanke,thought
bygga,build
dött,dead
planen,the plan
lämnat,left
bestämmer,decides
partner,partner
sorts,sorts
sådan,such
gode,excellent
doktor,doctor
liksom,as well as
flyga,fly
utom,except
sällskap,company
läste,read
verkade,seemed
förresten,By the way
tusen,thousand
minst,smallest
london,london
unge,young
rena,we
tal,of
olycka,accident
stack,stack
platsen,the place
danny,danny
festen,firm
inser,realize
kunnat,municipalities
skitsnack,bullshit
offer,offer
skepp,Ship
lyckades,managed
glömmer,forgets
krävs,is required
halv,half
låna,borrow
framåt,Forward
grabbar,boys
tillstånd,permission
van,by
öga,eye
respekt,respect
lista,list
vapnet,the weapon
ren,ren
hopp,hope
nervös,nervous
skapa,create
richard,richard
kyrkan,the church
leka,try
prova,trial
följde,followed
överste,colonel
team,team
folket,the people
ställ,rack
historien,the story
varken,neither
öppnar,opens
billy,billy
bredvid,beside
jake,jake
martin,martin
jul,jul
bodde,lived
tecken,sign
genast,immediately
förstod,understood
äldre,older
försvinner,disappears
gravid,pregnant
insåg,realized
makt,power
räkna,count
skäl,reason
skeppet,the ship
hemlighet,secret
behålla,retain
passa,raisin
mördaren,the killer
båten,the boat
sade,said
framtid,future
lag,lag
oavsett,regardless
talade,spoke
killarna,the guys
kräver,requires
varann,each other
värd,host
ryggen,the back
massor,plenty
jämt,even
säng,BED
kraft,kraft
bjuda,invite
väljer,chooses
föll,fell
avsluta,end
havet,the sea
innebär,implies
bära,wear
ej,not
chris,chris
stilla,adjust
tjäna,serve
beror,depend
tråkigt,boring
kostar,costs
himlen,heaven
förmodligen,probably
viktig,important
maten,The food
högre,higher
te,the
solen,the sun
clark,clark
hjälte,hero
lyckas,succeed
antingen,either
besök,visit
djupt,deep
vit,YEAR
överraskning,surprise
förstör,destroy
vågar,dare
bit,bit
hamnar,ports
tankar,thoughts
upprörd,upset
grupp,group
lik,etc
vanliga,usual
morgonen,the morning
thomas,thomas
engelska,English
nyckeln,the key
förstås,of course
ansvar,responsibility
band,band
vin,become
ljuga,lie
meningen,the meaning
slappna,relax
bröt,broke
överleva,survive
ordet,the word
ar,With
företag,business
beredd,prepared
mordet,the murder
jäveln,the bastard
missade,missed
flyttar,moving
steve,steve
fånga,catch
ms,ms
pistolen,the gun
röda,red
endast,only
lova,lova
per,per
johnny,johnny
sprang,sprang
blå,blue
taget,taken
fatta,done
flyttade,moved
normalt,normally
tackar,thanks
baby,baby
ärlig,honest
anna,anna
laga,from
kontoret,the office
daniel,daniel
ålder,age
kungen,the king
skämtar,joking
bjuder,invites
vänd,turn
luften,the air
frukost,breakfast
jane,jane
planer,plans
knulla,fuck
monster,monster
tolv,Twelve
leda,lead
hälften,half
poäng,point
starta,start
gömma,hide
galet,crazy
hjärna,brain
varmt,warm
målet,the target
stänga,close
golvet,the floor
ljuset,the light
bordet,the table
ära,away
dar,but
helvetet,hell
ledare,leader
galna,crazy
smärta,pain
minnas,Remember
nöjd,satisfied
rent,rent
lagt,laid
nåd,Grace
hejsan,Hello
eddie,eddie
backa,Reverse
ät,eat
kändes,felt
springa,run
tjänar,earns
skrivit,written
spännande,exciting
tanken,thought
gratis,free
wow,wow
definitivt,definitely
bobby,bobby
båt,boat
träffades,were met
föddes,was born
papper,paper
ordning,order
kämpa,fight
lagen,the law
skillnad,difference
sjukhus,hospital
bryta,break
samtidigt,at the same time
åren,the years
droger,drugs
will,will
scott,scott
titt,look
använd,used
sköta,take care of
ihjäl,to death
vägrar,refuses
ske,Spoon
ungar,ungar
bilden,the image
farfar,grandfather
ärligt,honestly
fängelset,the prison
mördade,murdered
letade,searched
faller,falls
flyger,flying
tappade,dropped
mormor,grandmother
sjunga,sing
hemsk,terrible
suger,sucks
sekund,seconds
dök,dived
soldater,soldiers
öppen,open
sköter,cares
öde,Fate
regler,rules
pris,taken
skriv,write
översättning,translation
kusin,cousin
betalt,paid
jävligt,damn
förklarar,explaining
snällt,kindly
speciell,special
delen,to share
amerikanska,American
knappast,hardly
människorna,the people
hunden,the dog
hänga,hang
chuck,chuck
dyker,diving
köket,the kitchen
fönstret,the window
skiter,crap
lee,lee
claire,claire
oskyldig,innocent
hundra,hundred
fann,found
hamnade,ended up
härligt,lovely
charles,charles
känsla,feeling
hot,hot
bry,bry
farväl,farewell
damen,damen
hål,hole
college,college
kollade,checked
lättare,lighter
skjuten,shot
of,of
häftigt,cool
gäng,gang
exempel,example
styrka,strength
viktiga,important
ätit,ate
gamle,old
skor,score
aj,also
pappas,dad's
framme,in front
möta,meet
gränsen,the border
lärare,teacher
kört,driven
jäkla,damn
dam,dam
robert,robert
springer,springer
evigt,forever
hoppades,hoped
kallt,cool
senast,last
stjäla,steal
gumman,old woman
reglerna,the rules
slag,slag
rachel,rachel
kl.,at
förändras,change
fungera,work
häst,HORSE
kate,kate
bröder,brothers
diskutera,discuss
gömmer,hiding
rolig,calm
inblandad,involved
maria,maria
lille,little
svaret,the answer
orsak,cause
männen,the men
bilar,cars
mammas,moms
ordentligt,proper
snabbare,faster
vända,turn
drömmar,dreams
walter,walter
presentera,present
broder,brother
köpt,purchased
regeringen,the government
självmord,suicide
kevin,kevin
återvända,return
washington,washington
ensamma,alone
rik,rik
form,form
amerika,America
bestämt,Certainly
skyddar,protects
adam,adam
guld,gold
listan,the list
poliser,police officers
minne,remind
förhållande,relationship
hotellet,the hotel
kontrollera,verify
jagar,chasing
taket,the ceiling
sådant,such
bett,bed
jaga,take care
stycken,pieces
slipper,slipper
t,t
driver,driver
dejt,date
frisk,fresh
amy,amy
väggen,the wall
bröllop,wedding
jerry,jerry
street,street
arthur,arthur
ena,this one
procent,percent
halsen,the neck
försvinna,disappear
city,city
andy,andy
desto,the more
krafter,forces
personen,persons
tänder,teeth
farlig,dangerous
färdig,finished
kött,meat
eric,eric
armén,the army
ifred,alone
vanlig,usual
lov,law
karl,karl
varm,warm
levde,lived
tusan,heck
bak,behind
betalade,paid
gåva,gift
antagligen,probably
sanning,truth
major,major
km,km
gifte,married
england,england
sparken,fired
vems,whose
mobil,car
matt,matt
sålde,sold
munnen,the mouth
struntar,ignore
angående,concerning
förstörde,destroyed
fria,free
dator,it comes
växte,grew
stranden,the beach
ryan,ryan
hotell,Hotel
förflutna,past
hantera,manage
coolt,cool
sergeant,sergeant
sysslar,chores
carter,carter
lagar,laws
alan,alan
magi,magi
mötet,the meeting
skitstövel,crap boot
föredrar,prefer
kameran,the camera
tåget,the train
skott,shot
hemska,terrible
liknande,similar
svin,celebrating
umgås,hang out
strid,strife
ön,front
tryck,print
medicin,medicine
kyle,kyle
spelet,the game
noga,carefully
brian,brian
vaken,awake
sakta,slowly
skola,school
hemligheter,secrets
san,san
red,red
matchen,the match
når,when
fira,fira
böcker,books
löjtnant,lieutenant
liknar,resembles
drick,drink
koppla,connect
tvinga,force
minsta,smallest
text,text
mun,will
träd,tree
föra,bring
affär,business
bjöd,invited
situationen,the situation
benen,legs
an,an
helgen,weekend
hjärnan,the brain
skrämmer,scaring
stannade,stopped
hustru,wife
erkänna,admit
le,the
bryter,switch
skydd,protection
alice,alice
soldat,soldier
karriär,career
byggnaden,the building
rätten,the right
reser,travels
floden,the river
anser,consider
koll,check
klä,dress
herrn,Mr
sker,happens
miljon,million
japp,yup
stationen,stations
åkt,ride
skratta,laugh
söka,search
bandet,the band
simon,simon
omedelbart,immediately
onda,then
område,territory
frihet,freedom
privat,private
loss,loss
taxi,taxi
glada,happy
jobbigt,troublesome
d,d
väskan,the bag
skapade,created
ted,ted
skrattar,laughing
halva,half
överlever,survives
uppmärksamhet,attention
fars,farsi
lura,treatment
förslag,suggestions
grejen,the thing
spåra,track
syns,visible
konstig,weird
förändrats,changed
äktenskap,marriage
vetat,knew
starkare,stronger
testa,head
sheriffen,the sheriff
bråttom,in a hurry
sötnos,sweetheart
dörr,door
jason,jason
emma,emma
hora,hour
löser,solves
håret,the hair
fisk,fish
nyligen,recently
hoppar,jumping
affären,the store
hindra,hinder
fångar,prisoners
tjena,like this
william,william
is,is
saknas,is missing
vaknar,wakes up
dave,dave
blodet,the blood
kyss,kiss
nytta,benefit
sådana,such
gråta,cry
phil,phil
skallen,the skull
högsta,highest
situation,situation
present,present
rom,rom
släppte,released
oroar,worrier
närmar,approaches
tappat,dropped
bussen,the bus
föreslår,proposes
luft,air
väska,bag
mil,thousand
tusentals,thousands of
ägg,egg
banken,banks
skuld,debt
oliver,oliver
sara,sara
pete,pete
undvika,avoid
stöd,support
minnen,memories
bestämma,determine
samman,Together
misstänkt,suspected
resan,the journey
tillfälle,opportunity
priset,the price
skickat,sent
slutat,finished
bord,edge
offret,the victim
sakna,miss
tokig,crazy
via,via
tidningen,the newspaper
tycka,think
fot,Foot
nämnde,mentioned
jäklar,devils
laget,made
ed,ed
besviken,disappointed
samtalet,the conversation
våld,violence
ljud,sound
samla,collect
tillbaks,back
fiender,enemies
röd,RED
födelsedag,birthday
leo,leo
alltihop,all of it
troligen,probably
emily,emily
lögn,lie
joey,joey
avtal,agreement
påminner,reminds
toaletten,the toilet
kontakta,contact
allihopa,all of them
fötter,feet
pâ,on
ifall,If
faktum,fact
starka,strong
klass,class
kuk,cock
viktigaste,most important
drack,drank
återvänder,returns
ansvarig,responsible
don,don
systemet,the system
sten,stone
hoppade,jumped
position,position
nyheterna,the news
stänger,closes
långa,long
platser,places
uppdraget,the mission
mörkret,the darkness
skär,notch
skapar,creates
dna,dna
r,r
vis,always
semester,semester
tuff,tuff
snabb,fast
luke,luke
middagen,the dinner
adress,address
års,years
lustigt,funny
orkar,can bear
tycks,seems
lily,lily
skrämde,scared
tillgång,access
nycklarna,the keys
kastar,throws
hållit,held
räknar,counting
rädsla,fear
slippa,avoid
duger,will do
baren,the bar
undrade,wondered
begär,requests
eftermiddag,afternoon
känd,known
skadade,damaged
nöje,pleasure
mörkt,dark
match,match
lyckliga,happy
frankrike,France
märkligt,strange
företaget,the company
armé,armed
växer,growing
svår,difficult
hittades,was found
svarade,replied
missar,misses
möjlighet,ability
öppet,open
hundar,dogs
energi,energy
sådär,like that
professor,professor
bygger,builds
saknat,missed
dagarna,the days
acceptera,accept
lurade,cheated
and,and
tvätta,wash
idéer,ideas
mej,me
löjligt,ridiculously
plocka,pick
lisa,lisa
dölja,hide
ställde,posed
förvånad,surprised
high,high
numret,the number
dödad,killed
majestät,majesty
eh,eh
big,big
hållet,held
hård,hard
letat,looked for
försvara,defend
personligt,personally
föreställa,imagine
kastade,threw
styr,steer
lek,lek
svag,weak
arm,arm
stoppar,stops
hemligt,secretly
domare,Judge
fundera,think
blommor,flowers
avslöja,reveal
efteråt,afterwards
mörda,murder
ungarna,the kids
ringen,the ring
arbetet,the work
st,st
gifter,poisons
sjunger,sings
vaknade,woke up
carl,carl
sökte,sought
handlade,shopped
mördad,murdered
dagens,of today
sakerna,the things
läs,read
möter,meets
smaka,taste
rika,like
flickorna,the girls
hamna,end up
snabba,fast
fälla,trap
stil,style
avskyr,abhor
städa,clean
pass,pass
klient,Client
sms,sms
kärleken,the love
flög,flew
vänder,turns
heliga,saints
fokusera,focus
tysta,shut up
annanstans,elsewhere
fienden,the enemy
hemliga,secret
drottning,queen
kilometer,kilometer
jackson,jackson
relation,relation
idioter,idiots
lås,lock
el,he
gråter,cries
bröst,breast
klubben,the club
leker,toys
plus,plus
lucy,lucy
hann,he
hämnd,revenge
fulla,full
likadant,same
sjuka,sick
rapport,report
system,system
jones,jones
rättvisa,Justice
assistent,assistant
farmor,grandmother
fiende,enemy
viss,everything
tvingade,forced
los,the
spara,save
bollen,the ball
morgan,morgan
råkar,happens to
ovanligt,unusual
förlåta,forgive
franska,French
givetvis,of course
vapnen,the weapons
lord,lord
louis,louis
rose,rose
bekant,known
smakar,tastes
missa,loose
susan,susan
packa,pack
kniv,knife
al,al
katt,Cat
förändra,change
inse,realize
fyller,filling
jeff,jeff
bröllopet,the wedding
tjejerna,the girls
planerat,planned
döende,dying
dansar,dancing
källaren,the basement
skriker,screams
barry,barry
ändrar,changes
mästare,Master
färg,color
påstår,claims
vilse,astray
vakt,guard
valt,fall
vuxen,adult
chloe,chloe
kopp,kopp
arbetade,worked
jenny,jenny
låst,locked
perfekta,perfect
översatt,translated
operation,operation
c,c
byter,changes
förväntar,expect
abby,abby
poängen,the point
magen,the stomach
planeten,planets
grace,grace
märker,notices
tacksam,grateful
panik,panic
nått,reached
höga,high
nödvändigt,necessary
alternativ,alternative
ledde,led
tyska,German
kollat,checked
sjukt,sick
vinden,find
inuti,Inside
räddar,saves
normal,normal
tillfället,the occasion
musiken,the music
still,still
fredag,Friday
kämpar,fighting
cia,cia
månaden,the month
inspektör,inspector
förstört,destroyed
bilderna,the pictures
grabb,Guy
rykte,reputation
född,born
röka,smoke
mening,my
